Āfrika	Africa
Hārdkors (rokmūzikas žanrs)	Hardcore punk
Emo (mūzikas žanrs)	Emo
Revolūcija	Rivoluzione
Krabja miglājs	Nebulosa Granchio
Siers	Formaggio
Ebro	Ebro
Vīnogas	Uva
Triatlons	Triathlon
Medus	Miele
Gaļa	Carne
Taigers Vudss	Tiger Woods
Kartupelis	Solanum tuberosum
Dārzenis	Verdura
Soja	Glycine max
Rieksts	Noce (botanica)
Apvienotās Karalistes parlaments	Parlamento del Regno Unito
Robots	Robot
Snūkers	Snooker
Tehnoloģija	Tecnologia
Mašīna	Macchina
Skrūve	Vite (meccanica)
Inženierija	Ingegneria
Saskarsme	Comunicazione
Informācija	Informazione
Žurnālistika	Giornalismo
Laikraksts	Giornale
Plašsaziņas līdzekļi	Mezzo di comunicazione di massa
Iespiešana	Stampa
Telefons	Telefono
The Rolling Stones	The Rolling Stones
Kultūra	Cultura
Hindustāņu valoda	Lingua indostana
Ribonukleīnskābe	RNA
Sanskrits	Lingua sanscrita
2001. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2001
Astronoms	Astronomo
Asinsrites orgānu sistēma	Apparato circolatorio
Endokrīnā sistēma	Apparato endocrino
Alcheimera slimība	Malattia di Alzheimer
Resnā zarna	Intestino crasso
Pārkinsona slimība	Malattia di Parkinson
Celiakija	Celiachia
Tievā zarna	Intestino tenue
Maņu orgānu sistēma	Organi di senso
IPv4	IPv4
Alhazens	Alhazen
2000. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2000
1999. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 1999
Lugo	Lugo (Spagna)
IP adrese	Indirizzo IP
Māstrihtas līgums	Trattato di Maastricht
The Guardian	The Guardian
Eiropas Savienības valodas	Lingue dell'Unione europea
FA kauss	FA Cup
Anglijas Līgas kauss	Football League Cup
Džons Robertss	John G. Roberts
Border Gateway Protocol	Border Gateway Protocol
Skābes	Acido
UDP	User Datagram Protocol
Neorganiskā ķīmija	Chimica inorganica
DHCP	Dynamic Host Configuration Protocol
Tilde	Tilde
Jautājuma zīme	Punto interrogativo
Ķīmiskais savienojums	Composto chimico
Cirkumflekss	Circonflesso
22. gadsimts	XXII secolo
Tīkla adrešu translēšana	Network address translation
Jūlija kalendārs	Calendario giuliano
Starpniekserveris	Proxy
Medicīna	Medicina
The World Factbook	CIA World Factbook
Kimi Reikenens	Kimi Räikkönen
Bāze (ķīmija)	Base (chimica)
Sarajeva	Sarajevo
Serbu Republika	Repubblica Serba di Bosnia ed Erzegovina
Logaritms	Logaritmo
ASV Augstākā tiesa	Corte Suprema degli Stati Uniti d'America
Lineāru vienādojumu sistēma	Sistema di equazioni lineari
Likumdošanas vara	Potere legislativo
Aritmētika	Aritmetica
Pentagons	Il Pentagono
ASV Aizsardzības departaments	Dipartimento della Difesa degli Stati Uniti d'America
Koordinātu sistēma	Sistema di riferimento
ASV Bruņotie spēki	United States Armed Forces
Diferenciālvienādojums	Equazione differenziale
Windows 7	Windows 7
Skaitļošanas matemātika	Analisi numerica
ASV Jūras kājnieku korpuss	United States Marine Corps
ASV Jūras kara flote	United States Navy
ASV Gaisa spēki	United States Air Force
ASV Krasta apsardze	United States Coast Guard
Procents	Percentuale
Windows Vista	Windows Vista
ASV Tēvzemes drošības departaments	Dipartimento della Sicurezza Interna degli Stati Uniti d'America
Pasaules tirdzniecības centrs	World Trade Center
Nelsons Rokfellers	Nelson Rockefeller
One World Trade Center	One World Trade Center
Windows Server 2003	Windows Server 2003
Windows XP	Windows XP
Microsoft Office	Microsoft Office
Fidels Kastro	Fidel Castro
Taimskvērs	Times Square
Microsoft Word	Microsoft Word
Microsoft PowerPoint	Microsoft PowerPoint
ASV Kongress	Congresso degli Stati Uniti d'America
Fulhensio Batista	Fulgencio Batista
Microsoft Excel	Microsoft Excel
Chrysler Building	Chrysler Building
Lodveida zvaigžņu kopa	Ammasso globulare
Rokfellera centrs	Rockefeller Center
Kategorija:Brazīlija	Categoria:Brasile
Trollis (internets)	Troll (Internet)
Jonizētais ūdeņraža mākonis	Regione H II
Tīmekļa serveris	Server web
Koraļļu rifs	Barriera corallina
Manhetena	Manhattan
Kategorija:Brazīlijas vēsture	Categoria:Storia del Brasile
Debesskrāpis	Grattacielo
Kategorija:Bulgārijas vēsture	Categoria:Storia della Bulgaria
Kategorija:Rumānijas vēsture	Categoria:Storia della Romania
Kategorija:Rumānija	Categoria:Romania
Ķīmiskais elements	Elemento chimico
Vienādojums	Equazione
Funkcija	Funzione (matematica)
Organiskā ķīmija	Chimica organica
Leņķis	Angolo
Apache HTTP serveris	Apache HTTP Server
Ogļhidrāti	Glucidi
Ibn Badža	Ibn Bajja
Hormoni	Ormone
Grandžmūzika	Grunge
Alternatīvais roks	Alternative rock
Lipīdi	Lipidi
UNIX	Unix
Molekula	Molecola
Fizikālā ķīmija	Chimica fisica
Paātrinājums	Accelerazione
Šiva	Shiva
Enerģija	Energia
Višnu	Vishnu
Lokālais tīkls	Local Area Network
Enerģijas nezūdamības likums	Legge di conservazione dell'energia
Teritoriālais tīkls	Wide Area Network
Elektromagnētiskie viļņi	Radiazione elettromagnetica
Vaļējā zvaigžņu kopa	Ammasso aperto
Infrasarkanais starojums	Radiazione infrarossa
Brahma	Brahma
Mazpolija	Piccola Polonia
Ultravioletais starojums	Radiazione ultravioletta
Izmirstošas sugas	Specie a rischio
Domestikācija	Addomesticamento
Klasiskā mehānika	Meccanica classica
Organismu klasifikācija	Classificazione scientifica
Rokmūzika	Rock
Hiphops	Hip hop
Spēks	Forza
Samba	Samba
Bungas	Tamburo
Flauta	Flauti
Magnētiskais lauks	Campo magnetico
Aparteīds	Apartheid
Nardi	Backgammon
Gravitācija	Interazione gravitazionale
Go	Go (gioco)
Stiprā mijiedarbība	Interazione forte
Cīņas māksla	Arte marziale
Vājā mijiedarbība	Interazione debole
Karatē	Karate
Džudo	Judo
Magnēts	Magnete
Rotaļlieta	Giocattolo
Masa	Massa (fisica)
Kinofilma	Film
Animācija	Animazione
Metāli	Metallo
Tērauds	Acciaio
Kodolu dalīšanās	Fissione nucleare
Agregātstāvoklis	Stato della materia
Gāze	Gas
Šķidrums	Liquido
Gaisa kuģis	Aeromobile
Cieta viela	Solido
Mājas lapa	Home page
Divritenis	Bicicletta
Kuģis	Nave
Radioaktivitāte	Radioattività
Lauksaimniecība	Agricoltura
Vispārīgā relativitātes teorija	Relatività generale
Apūdeņošana	Irrigazione
Speciālā relativitātes teorija	Relatività ristretta
Pusvadītājs	Semiconduttore
Kokvilna	Cotone (fibra)
Serena Viljamsa	Serena Williams
Apģērbs	Abbigliamento
Skaņa	Suono
Surabaja	Surabaya
Adobe Systems	Adobe Systems
Arkls	Aratro
Ātrums	Velocità
Temperatūra	Temperatura
Metalurģija	Metallurgia
Nanotehnoloģija	Nanotecnologia
Stikls	Vetro
Laiks	Tempo
Papīrs	Carta
Termodinamika	Termodinamica
Plastmasas	Materie plastiche
Vakuums	Vuoto (fisica)
Kinemātika	Cinematica
Laukums	Area
Pitagora teorēma	Teorema di Pitagora
Gamma stari	Raggi gamma
Matemātisks pierādījums	Dimostrazione matematica
Kosmiskais starojums	Raggi cosmici
Skaitlis	Numero
Komplekss skaitlis	Numero complesso
Dārvina	Darwin (Australia)
Kilograms	Chilogrammo
Krištianu Ronaldu	Cristiano Ronaldo
Metrs	Metro
Sekunde	Secondo
Kukurūza	Zea mays
Rauls Gonsaless	Raúl González Blanco
Mieži	Hordeum vulgare
Venusa Viljamsa	Venus Williams
Kelvins	Kelvin
Litrs	Litro
Ikers Kasiljass	Iker Casillas
Džons Hantsmens	Jon Huntsman, Jr.
Harijs Trumens	Harry Truman
Alaija	Aaliyah
Citplanētietis	E.T. l'extra-terrestre
Jāņtārpiņš (seriāls)	Firefly (serie televisiva)
Glezniecība	Pittura
Kosmonauts	Astronauta
Fotogrāfija	Fotografia
Tēlniecība	Scultura
Teātris	Teatro
Džūdija Gārlenda	Judy Garland
Deja	Danza
Podniecība	Lavorazione della ceramica
Nine Inch Nails	Nine Inch Nails
Nirvana	Nirvana (gruppo musicale)
Elektronika	Elettronica
Elektriskā strāva	Corrente elettrica
Frekvence	Frequenza
Diode	Diodo
Marija Kiriļenko	Marija Kirilenko
Transformators	Trasformatore
Nadežda Petrova	Nadia Petrova
Mākslīgais intelekts	Intelligenza artificiale
Štefi Grafa	Steffi Graf
Laikapstākļi	Tempo (meteorologia)
Žozē Ramušs-Orta	José Ramos-Horta
Marija Šarapova	Marija Šarapova
Jeļena Dementjeva	Elena Dement'eva
Lindsija Devenporta	Lindsay Davenport
Bada spēles	Hunger Games
@@@u0026Bada spēļu@@@u0026 triloģija	Hunger Games (serie)
Žustīne Enāna	Justine Henin
Kima Kleistersa	Kim Clijsters
Lēcējzirnekļi	Salticidae
Volstrīta	Wall Street
Akcija (vērtspapīrs)	Azione (finanza)
Obligācija	Obbligazione (finanza)
American Airlines reiss 11	Volo American Airlines 11
ASV prezidents	Presidente degli Stati Uniti d'America
ASV konstitūcija	Costituzione degli Stati Uniti d'America
ASV viceprezidents	Vicepresidente degli Stati Uniti d'America
ASV Pārstāvju palāta	Camera dei rappresentanti (Stati Uniti d'America)
Džons Beiners	John Boehner
ASV Virdžīnas	Isole Vergini americane
United Airlines reiss 175	Volo United Airlines 175
Restorāns	Ristorante
Dienvidaustrumāzija	Sud-est asiatico
Šeņjana	Shenyang
Čuncjina	Chongqing
Tjaņdziņa	Tientsin
Lahora	Lahore
Uhaņa	Wuhan
Suverēno valstu uzskaitījums	Stati del mondo
Nagoja	Nagoya
Heincs Fišers	Heinz Fischer
Aizvēsture	Preistoria
Ludviks Zāmenhofs	Ludwik Lejzer Zamenhof
Akmens laikmets	Età della pietra
Bronzas laikmets	Età del bronzo
Dzelzs laikmets	Età del ferro
Divupe	Mesopotamia
Senā Ēģipte	Antico Egitto
Beringa šaurums	Stretto di Bering
Senā Grieķija	Antica Grecia
Guptu impērija	Impero Gupta
Lāču dzimta	Ursidae
Džons Adamss (prezidents)	John Adams
Tomass Džefersons	Thomas Jefferson
Džeimss Medisons	James Madison
Džeimss Monro	James Monroe
Džons K. Adamss	John Quincy Adams
Endrū Džeksons	Andrew Jackson
Martins Van Burens	Martin Van Buren
Abū Raihāns Bīrūnī	Al-Biruni
Sniegbaltīte	Biancaneve
Pelnrušķīte	Cenerentola
Antonijs Grabovskis	Antoni Grabowski
Detva	Detva
Silvio Berluskoni	Silvio Berlusconi
Viljams Herisons	William Henry Harrison
Zvolena	Zvolen
Džons Tailers	John Tyler
Aksls Rouzs	Axl Rose
Džeimss Polks	James Knox Polk
Guns N' Roses	Guns N' Roses
Zekerijs Teilors	Zachary Taylor
Einstürzende Neubauten	Einstürzende Neubauten
Hipātija	Ipazia
Gāndhīnagara	Gandhinagar
Bernes kantons	Canton Berna
2009. gada Abū Dabī Grand Prix	Gran Premio di Abu Dhabi 2009
2010. gada Abū Dabī Grand Prix	Gran Premio di Abu Dhabi 2010
2011. gada Abū Dabī Grand Prix	Gran Premio di Abu Dhabi 2011
2012. gada Abū Dabī Grand Prix	Gran Premio di Abu Dhabi 2012
Ženēvas kantons	Canton Ginevra
Vikipēdija itāļu valodā	Wikipedia in italiano
Vikipēdija portugāļu valodā	Wikipedia in portoghese
Glarusas kantons	Canton Glarona
Graubindenes kantons	Cantone dei Grigioni
Zvaigžņu Vārti	Stargate (franchise)
Zoloturnas kantons	Canton Soletta
Kevins Kostners	Kevin Costner
Armēņu alfabēts	Alfabeto armeno
Cūgas kantons	Canton Zugo
Mikipele	Topolino
PSV Eindhoven	Philips Sport Vereniging
Cīrihes kantons	Canton Zurigo
Mihaels Ballaks	Michael Ballack
Diks Advokāts	Dick Advocaat
Filips Koku	Phillip Cocu
Alikante	Alicante
Ārgavas kantons	Canton Argovia
Laspalmasa de Grankanārija	Las Palmas de Gran Canaria
Britnija Spīrsa	Britney Spears
Tihi	Tychy
Gremošana	Digestione
Fotosintēze	Fotosintesi clorofilliana
Bēthovena 9. simfonija	Sinfonia n. 9 (Beethoven)
Vairošanās	Riproduzione
Grūtniecība	Gravidanza
Kailija Minoga	Kylie Minogue
Šēra	Cher (cantante)
Ozoli	Quercus
Deivs Grols	Dave Grohl
Ēriks Saāde	Eric Saade
Eldars Gasimovs	Eldar Qasımov
Nigara Džamala	Nigar Camal
Google Maps	Google Maps
Četri gadalaiki	Le quattro stagioni
Priedes	Pinus
Kaitīgs ieradums	Dipendenza
Bādībene	Bad Düben
Dālene	Dahlen (Sassonia)
Dommiča	Dommitzsch
Mīgelne	Mügeln
Tauha	Taucha (Sassonia)
Dēliča	Delitzsch
1101. gads	1101
Bernārs Verbērs	Bernard Werber
Eilenburga	Eilenburg
Ošaca	Oschatz
Škeidica	Schkeuditz
Torgava	Torgau
1102. gads	1102
Apencelles-Auserrodenes kantons	Canton Appenzello Esterno
Augstākie zirnekļi	Araneomorphae
Holēra	Colera
Anrī Dināns	Henry Dunant
Apencelles-Innerrodenes kantons	Canton Appenzello Interno
Karalis	Re
Rudzi	Secale cereale
Paukošana	Scherma
Sējas auzas	Avena sativa
Kvieši	Triticum
Bretoņu valoda	Lingua bretone
Sorgo	Sorghum
2039. gads	2039
Labība	Cereali
2038. gads	2038
Debess pols	Polo celeste
2037. gads	2037
Lucernas kantons	Canton Lucerna
2036. gads	2036
Betelgeize	Betelgeuse
Saaukstēšanās	Raffreddore comune
2035. gads	2035
Stomatoloģija	Odontoiatria
Parseks	Parsec
Bretaņa	Bretagna
Invaliditāte	Disabilità
Kalendārs	Calendario
Kurlums	Sordità
Debess sfēra	Sfera celeste
Garīga slimība	Disturbo mentale
Slimība	Malattia
Gregora kalendārs	Calendario gregoriano
Zāles	Farmaco
Laika josla	Fuso orario
Nikotīns	Nicotina
Bāzeles lauku kantons	Canton Basilea Campagna
Veselība	Salute
Miokarda infarkts	Infarto miocardico acuto
Tutanhamons	Tutankhamon
Sorija	Soria
Malārija	Malaria
Ponferrada	Ponferrada
Antaress	Antares
Nepietiekams uzturs	Malnutrizione
Menstruācija	Mestruazione
Bāzeles pilsētas kantons	Canton Basilea Città
Aptaukošanās	Obesità
Meniešu valoda	Lingua mannese
Centaura Alfa	Alfa Centauri
Pandēmija	Pandemia
Kuģa Ķīļa Eta	Eta Carinae
Antibiotika	Antibiotico
Kanopuss	Canopo
Penicilīni	Penicillina
Nante	Nantes
Pneimonija	Polmonite
Bresta (Francija)	Brest (Francia)
Poliomielīts	Poliomielite
Seksuāli transmisīvā slimība	Malattia sessualmente trasmissibile
AIDS	AIDS
Insults	Ictus
QR kods	Codice QR
Tuberkuloze	Tubercolosi
Veidne:VietasKarte Vācija	Template:Mappa di localizzazione/DEU
Cukura diabēts	Diabete mellito
Veidne:VietasKarte Berlīne	Template:Mappa di localizzazione/Berlino
Bakas	Vaiolo
Kurdi	Curdi
Mursija	Murcia
Veidne:VietasKarte Islande	Template:Mappa di localizzazione/ISL
Santandera	Santander (Spagna)
Veidne:VietasKarte Norvēģija	Template:Mappa di localizzazione/NOR
Veidne:VietasKarte Dānija	Template:Mappa di localizzazione/DNK
Veidne:VietasKarte Zviedrija	Template:Mappa di localizzazione/SWE
Veidne:VietasKarte Somija	Template:Mappa di localizzazione/FIN
Veidne:VietasKarte Igaunija	Template:Mappa di localizzazione/EST
Veidne:VietasKarte Latvija	Template:Mappa di localizzazione/LVA
Veidne:VietasKarte Lietuva	Template:Mappa di localizzazione/LTU
Stenli	Port Stanley
Veidne:VietasKarte Īrija	Template:Mappa di localizzazione/IRL
Veidne:VietasKarte Apvienotā Karaliste	Template:Mappa di localizzazione/GBR
Veidne:VietasKarte Nīderlande	Template:Mappa di localizzazione/NLD
Veidne:VietasKarte Beļģija	Template:Mappa di localizzazione/BEL
Veidne:VietasKarte Luksemburga	Template:Mappa di localizzazione/LUX
Veidne:VietasKarte Francija	Template:Mappa di localizzazione/FRA
Veidne:VietasKarte Monako	Template:Mappa di localizzazione/MCO
Veidne:VietasKarte Andora	Template:Mappa di localizzazione/AND
Veidne:VietasKarte Spānija	Template:Mappa di localizzazione/ESP
Veidne:VietasKarte Portugāle	Template:Mappa di localizzazione/PRT
Veidne:VietasKarte Malta	Template:Mappa di localizzazione/MLT
Veidne:VietasKarte Itālija	Template:Mappa di localizzazione/ITA
Veidne:VietasKarte Sanmarīno	Template:Mappa di localizzazione/SMR
Veidne:VietasKarte Šveice	Template:Mappa di localizzazione/CHE
Veidne:VietasKarte Lihtenšteina	Template:Mappa di localizzazione/LIE
Arhitektūra	Architettura
Veidne:VietasKarte Austrija	Template:Mappa di localizzazione/AUT
Hihona	Gijón
Veidne:VietasKarte Polija	Template:Mappa di localizzazione/POL
Veidne:VietasKarte Čehija	Template:Mappa di localizzazione/CZE
Arka	Arco (architettura)
Veidne:VietasKarte Slovākija	Template:Mappa di localizzazione/SVK
Tilts	Ponte
Veidne:VietasKarte Ungārija	Template:Mappa di localizzazione/HUN
Veidne:VietasKarte Slovēnija	Template:Mappa di localizzazione/SVN
Kanāls	Canale artificiale
Veidne:VietasKarte Horvātija	Template:Mappa di localizzazione/HRV
Veidne:VietasKarte Bosnija un Hercegovina	Template:Mappa di localizzazione/BIH
Veidne:VietasKarte Serbija	Template:Mappa di localizzazione/SRB
Veidne:VietasKarte Kosova	Template:Mappa di localizzazione/KOS
Veidne:VietasKarte Melnkalne	Template:Mappa di localizzazione/MNE
Veidne:VietasKarte Maķedonija	Template:Mappa di localizzazione/MKD
Veidne:VietasKarte Albānija	Template:Mappa di localizzazione/ALB
Villarreal CF	Villarreal Club de Fútbol
Veidne:VietasKarte Grieķija	Template:Mappa di localizzazione/GRC
Veidne:VietasKarte Bulgārija	Template:Mappa di localizzazione/BGR
Veidne:VietasKarte Rumānija	Template:Mappa di localizzazione/ROU
Veidne:VietasKarte Moldova	Template:Mappa di localizzazione/MDA
Milards Filmors	Millard Fillmore
Veidne:VietasKarte Ukraina	Template:Mappa di localizzazione/UKR
Veidne:VietasKarte Baltkrievija	Template:Mappa di localizzazione/BLR
Veidne:VietasKarte Krievija	Template:Mappa di localizzazione/RUS
Frenklins Pīrss	Franklin Pierce
Veidne:VietasKarte Gruzija	Template:Mappa di localizzazione/GEO
Veidne:VietasKarte Armēnija	Template:Mappa di localizzazione/ARM
Veidne:VietasKarte Azerbaidžāna	Template:Mappa di localizzazione/AZE
Veidne:VietasKarte Kazahstāna	Template:Mappa di localizzazione/KAZ
Veidne:VietasKarte Turkmenistāna	Template:Mappa di localizzazione/TKM
Veidne:VietasKarte Uzbekistāna	Template:Mappa di localizzazione/UZB
Aizsprosts	Diga
Veidne:VietasKarte Kirgizstāna	Template:Mappa di localizzazione/KGZ
Džeimss Bjūkenens (politiķis)	James Buchanan
Veidne:VietasKarte Tadžikistāna	Template:Mappa di localizzazione/TJK
Veidne:VietasKarte Kipra	Template:Mappa di localizzazione/CYP
Veidne:VietasKarte Sīrija	Template:Mappa di localizzazione/SYR
Veidne:VietasKarte Libāna	Template:Mappa di localizzazione/LBN
Veidne:VietasKarte Izraēla	Template:Mappa di localizzazione/ISR
Veidne:VietasKarte Palestīna	Template:Mappa di localizzazione/PSE
Veidne:VietasKarte Jordānija	Template:Mappa di localizzazione/JOR
Veidne:VietasKarte Irāka	Template:Mappa di localizzazione/IRQ
Veidne:VietasKarte Irāna	Template:Mappa di localizzazione/IRN
Veidne:VietasKarte Kuveita	Template:Mappa di localizzazione/KWT
Veidne:VietasKarte Saūda Arābija	Template:Mappa di localizzazione/SAU
Veidne:VietasKarte Bahreina	Template:Mappa di localizzazione/BHR
Veidne:VietasKarte Katara	Template:Mappa di localizzazione/QAT
Veidne:VietasKarte Apvienotie Arābu Emirāti	Template:Mappa di localizzazione/ARE
Veidne:VietasKarte Jemena	Template:Mappa di localizzazione/YEM
Veidne:VietasKarte Afganistāna	Template:Mappa di localizzazione/AFG
Veidne:VietasKarte Pakistāna	Template:Mappa di localizzazione/PAK
Veidne:VietasKarte Indija	Template:Mappa di localizzazione/IND
Veidne:VietasKarte Nepāla	Template:Mappa di localizzazione/NPL
Veidne:VietasKarte Butāna	Template:Mappa di localizzazione/BTN
Veidne:VietasKarte Bangladeša	Template:Mappa di localizzazione/BGD
Veidne:VietasKarte Mjanma	Template:Mappa di localizzazione/MMR
Veidne:VietasKarte Maldīvija	Template:Mappa di localizzazione/MDV
Veidne:VietasKarte Mongolija	Template:Mappa di localizzazione/MNG
Sāļi	Sale
Veidne:VietasKarte Ķīna	Template:Mappa di localizzazione/CHN
Veidne:VietasKarte Korejas Republika	Template:Mappa di localizzazione/KOR
Veidne:VietasKarte Japāna	Template:Mappa di localizzazione/JPN
Veidne:VietasKarte Taivāna	Template:Mappa di localizzazione/TWN
Veidne:VietasKarte Filipīnas	Template:Mappa di localizzazione/PHL
Veidne:VietasKarte Vjetnama	Template:Mappa di localizzazione/VNM
Veidne:VietasKarte Laosa	Template:Mappa di localizzazione/LAO
Veidne:VietasKarte Kambodža	Template:Mappa di localizzazione/KHM
Veidne:VietasKarte Taizeme	Template:Mappa di localizzazione/THA
Veidne:VietasKarte Malaizija	Template:Mappa di localizzazione/MYS
Veidne:VietasKarte Bruneja	Template:Mappa di localizzazione/BRN
Veidne:VietasKarte Singapūra	Template:Mappa di localizzazione/SGP
Veidne:VietasKarte Indonēzija	Template:Mappa di localizzazione/IDN
Veidne:VietasKarte Austrumtimora	Template:Mappa di localizzazione/TLS
Veidne:VietasKarte Austrālija	Template:Mappa di localizzazione/AUS
Veidne:VietasKarte Jaunzēlande	Template:Mappa di localizzazione/NZL
Veidne:VietasKarte Palau	Template:Mappa di localizzazione/PLW
Veidne:VietasKarte Mikronēzijas Federatīvās Valstis	Template:Mappa di localizzazione/FSM
Veidne:VietasKarte Papua-Jaungvineja	Template:Mappa di localizzazione/PNG
Veidne:VietasKarte Zālamana Salas	Template:Mappa di localizzazione/SLB
Veidne:VietasKarte Nauru	Template:Mappa di localizzazione/NRU
Veidne:VietasKarte Kiribati	Template:Mappa di localizzazione/KIR
Ūrī kantons	Canton Uri
Veidne:VietasKarte Vanuatu	Template:Mappa di localizzazione/VUT
Bīdmērs	Calibro
Veidne:VietasKarte Samoa	Template:Mappa di localizzazione/WSM
Veidne:VietasKarte Gviāna	Template:Mappa di localizzazione/GUF
Veidne:VietasKarte Surinama	Template:Mappa di localizzazione/SUR
Veidne:VietasKarte Gajāna	Template:Mappa di localizzazione/GUY
Veidne:VietasKarte Venecuēla	Template:Mappa di localizzazione/VEN
Veidne:VietasKarte Kolumbija	Template:Mappa di localizzazione/COL
Veidne:VietasKarte Ekvadora	Template:Mappa di localizzazione/ECU
Mona Liza	Gioconda
Veidne:VietasKarte Peru	Template:Mappa di localizzazione/PER
Veidne:VietasKarte Bolīvija	Template:Mappa di localizzazione/BOL
Veidne:VietasKarte Čīle	Template:Mappa di localizzazione/CHL
Veidne:VietasKarte Argentīna	Template:Mappa di localizzazione/ARG
Veidne:VietasKarte Paragvaja	Template:Mappa di localizzazione/PRY
